zipcode,name,tel,beonji,address
427-805,정부과천청사관리소,02-500-3412~3,1,경기 과천시　
427-805,중소기업특별위원회,02-507-7602~3,2,경기 과천시　
427-726,중앙공무원교육원,02-503-8020,2-1,경기 과천시　
427-729,환경부,02-500-4114,1,경기 과천시　
441-707,농촌진흥청,031-299-2200,250,경기 수원시　
380-756,중앙경찰학교,043-840-9114,수회리 95,충북 충주시　
120-704,경찰청,02-363-0112,209,서울 서대문구
100-744,서울시청,02-731-6114,31,서울 중구　　
611-735,부산광역시청,051-888-2000,1000,부산 연제구　
702-702,경상북도청,053-943-0151,1445-3,대구 북구　　
700-714,대구광역시청,053-422-1191,2,대구 중구　　
502-702,광주광역시청,062-613-2114,1200,광주 서구　　
302-789,대전광역시청,042-600-2114,1420,대전 서구　　
680-701,울산광역시청,052-229-2000,646-4,울산 남구　　
200-700,강원도청,033-254-2011~9,15,강원 춘천시　
442-781,경기도청,031-249-2114,1,경기 수원시　
641-702,경상남도청,055-211-2114,1,경남 창원시　
534-700,전라남도청,062-222-0011,남악리 1000,전남 무안군　
560-761,전라북도청,063-280-2114,1,전북 전주시　
690-700,제주특별자치도청,064-710-2114,312-1,제주 제주시　
135-880,울산광역시서울사무소,02-578-4939,158-24,서울 강남구　
121-803,경기도서울사무소 ,02-3273-7860,234-2,서울 마포구　
121-803,경상남도서울사무소,02-715-6643,234-2,서울 마포구　
121-803,경상북도서울사무사소,02-712-0676,234-2,서울 마포구　
121-803,광주광역시서울사무소,02-712-4696,234-2,서울 마포구　
121-803,대전광역시서울사무소,02-704-2237,234-2,서울 마포구　
121-803,부산광역시서울사무소,02-3273-4993,234-2,서울 마포구　
121-803,전라남도서울사무소,02-701-2090,234-2,서울 마포구　
121-803,전라북도서울사무소,02-715-6366,234-2,서울 마포구　
121-803,제주도서울사무소,02-3477-0181,234-2,서울 마포구　
121-803,충청북도서울사무소,02-714-2998,234-2,서울 마포구　
137-170,인천광역시서울사무소,02-578-9506,300-9,서울 서초구　
137-170,충청남도서울사무소,02-571-8954,300-9,서울 서초구　
100-180,강원도서울사무소,02-755-6243,10,서울 중구　　
121-803,남원시서울사무소,02-3274-2226,253-42,서울 마포구　
137-862,구미시서울사무소,02-3474-4146,1355-3,서울 서초구　
210-801,강원도환동해출장소,033-662-3701,교항리 134,강원 강릉시　
480-764,경기도제2청사,031-850-2114,800,경기 의정부시
135-914,장수군서울사무소,02-552-9253,668-12,서울 강남구　
137-883,무주군서울사무소,02-3477-0181,1695-20,서울 서초구　
611-830,부산광역시의회,051-888-5221~8,1000,부산 연제구　
702-843,경상북도의회,053-950-2811,1443-5,대구 북구　　
700-421,대구광역시의회,053-426-1960,1,대구 중구　　
502-702,광주광역시의회,062-613-5043,1200,광주 서구　　
680-701,울산광역시의회,052-229-5031~2,646-4,울산 남구　　
200-700,강원도의회,033-254-2011,15,강원 춘천시　
534-700,전라남도의회,061-286-8200,남악리 1000,전남 무안군　
210-703,강릉시청,033-640-4114,1001,강원 강릉시　
240-701,동해시청,033-533-3011~9,806,강원 동해시　
245-701,삼척시청,033-572-2011~9,592,강원 삼척시　
217-701,속초시청,033-633-3171~7,469-6,강원 속초시　
220-703,원주시청,033-742-2111,185-1,강원 원주시　
200-708,춘천시청,033-253-3700,111,강원 춘천시　
235-701,태백시청,033-552-1360~9,244-3,강원 태백시　
412-701,고양시청,031-909-9000,600,경기 고양시　
427-714,과천시청,02-502-5001~6,1-3,경기 과천시　
423-702,광명시청,02-686-0011,222-1,경기 광명시　
464-720,광주시청,031-760-2000,120-8,경기 광주시　
471-702,구리시청,031-557-1010,390-1,경기 구리시　
435-701,군포시청,031-392-3000,844,경기 군포시　
415-728,김포시청,031-984-2181,263-1,경기 김포시　
472-701,남양주시청,031-590-2114,185-10,경기 남양주시
483-708,동두천시청,031-865-7101,438,경기 동두천시
420-736,부천시청,032-320-2114,1156,경기 부천시　
461-700,성남시청,031-729-2114,3309,경기 성남시　
442-701,수원시청,031-228-2114,1111,경기 수원시　
429-701,시흥시청,031-310-2114,300,경기 시흥시　
425-702,안산시청,031-481-2114,515,경기 안산시　
456-701,안성시청,031-673-8200,31-3,경기 안성시　
431-728,안양시청,031-387-7111,205,경기 안양시　
482-709,양주시청,031-820-2114,1-1,경기 양주시　
447-701,오산시청,031-370-3114,915,경기 오산시　
449-704,용인시청,031-324-2114,556,경기 용인시　
437-701,의왕시청,031-345-2114,171,경기 의왕시　
480-703,의정부시청,031-828-2114,326-2,경기 의정부시
467-717,이천시청,031-632-8001~5,187-1,경기 이천시　
413-719,파주시청,031-940-4114,215,경기 파주시　
450-702,평택시청,031-653-3000,846,경기 평택시　
465-701,하남시청,031-790-6114,520,경기 하남시　
445-702,화성시청,031-355-2114,2000,경기 화성시　
656-720,거제시청,055-639-3000,717,경남 거제시　
621-701,김해시청,055-330-3114,623,경남 김해시　
631-702,마산시청,055-240-2114,4-11,경남 마산시　
627-701,밀양시청,055-359-5114,1000-1,경남 밀양시　
664-701,사천시청,055-830-4114,427-1,경남 사천시　
626-701,양산시청,055-392-2114,505,경남 양산시　
660-760,진주시청,055-749-2114,284,경남 진주시　
645-701,진해시청,055-548-2114,1,경남 진해시　
641-703,창원시청,055-280-2114,1,경남 창원시　
650-800,통영시청,055-646-2111~8,357,경남 통영시　
712-703,경산시청,053-811-2231,701-17,경북 경산시　
780-701,경주시청,054-748-9001,800,경북 경주시　
730-717,구미시청,054-450-5114,50,경북 구미시　
740-701,김천시청,054-420-6114,1284,경북 김천시　
745-702,문경시청,054-552-3210,220,경북 문경시　
742-706,상주시청,054-533-2001,140-3,경북 상주시　
760-701,안동시청,054-853-3601~9,344,경북 안동시　
750-701,영주시청,054-634-3100,470,경북 영주시　
790-722,포항시청,054-270-2114,1001,경북 포항시　
545-701,광양시청,061-797-2114,1313,전남 광양시　
520-701,나주시청,061-330-8114,1100,전남 나주시　
530-701,목포시청,061-270-3114,1188-2,전남 목포시　
540-701,순천시청,061-742-3000~9,53-1,전남 순천시　
555-701,여수시청,061-690-2114,100,전남 여수시　
573-703,군산시청,063-450-4000,888,전북 군산시　
576-120,김제시청,063-540-3114,353,전북 김제시　
590-701,남원시청,063-625-3111,518,전북 남원시　
570-753,익산시청,063-840-3114,60,전북 익산시　
560-700,전주시청,063-281-2114,568-1,전북 전주시　
580-701,정읍시청,063-535-5141~7,440-1,전북 정읍시　
690-701,제주시청,064-750-7114,1176-1,제주 제주시　
321-900,계룡시청,042-840-2114,10,충남 계룡시　
321-900,계룡시청,042-840-2114,10,충남 계룡시　
314-702,공주시청,041-853-2111,319,충남 공주시　
320-701,논산시청,041-730-1114,824,충남 논산시　
355-701,보령시청,041-930-3114,269-4,충남 보령시　
336-701,아산시청,041-540-2114,1626,충남 아산시　
331-701,천안시청,041-521-2114,234-1,충남 천안시　
390-701,제천시청,043-645-7101~9,12-2,충북 제천시　
380-700,충주시청,043-850-5114,700,충북 충주시　
135-705,강남구청,02-2104-1114,16-1,서울 강남구　
134-700,강동구청,02-480-1114,540,서울 강동구　
142-701,강북구청,02-901-6114,192-59,서울 강북구　
157-701,강서구청,02-2600-6114,980-16,서울 강서구　
151-701,관악구청,02-880-3114,1570-1,서울 관악구　
143-702,광진구청,02-450-1114,777,서울 광진구　
152-701,구로구청,02-860-2114,435,서울 구로구　
153-701,금천구청,02-890-2114,890-4,서울 금천구　
139-703,노원구청,02-950-3114,701-1,서울 노원구　
132-701,도봉구청,02-903-0120,320,서울 도봉구　
130-703,동대문구청,02-2127-4114,39-9,서울 동대문구
156-701,동작구청,02-814-0001,47-2,서울 동작구　
121-711,마포구청,02-330-2114,275-3,서울 마포구　
120-703,서대문구청,02-330-1435,168-6,서울 서대문구
137-704,서초구청,02-570-6462,1376-3,서울 서초구　
133-701,성동구청,02-2290-7435,7,서울 성동구　
136-706,성북구청,02-920-3731,5-411,서울 성북구　
138-702,송파구청,02-410-3114,29-5,서울 송파구　
158-702,양천구청,02-650-3114,321-4,서울 양천구　
150-720,영등포구청,02-670-3114,385-1,서울 영등포구
140-704,용산구청,02-710-3114,25,서울 용산구　
122-702,은평구청,02-350-1114,84,서울 은평구　
110-701,종로구청,02-731-0114,146-2,서울 종로구　
100-701,중구청,02-2260-1114,120-1,서울 중구　　
131-701,중랑구청,02-490-3114,662,서울 중랑구　
618-701,강서구청,051-972-0501,2300,부산 강서구　
609-701,금정구청,051-514-5501,78,부산 금정구　
608-701,남구청,051-637-7373,1268-1,부산 남구　　
601-701,동구청,051-466-7191,806-74,부산 동구　　
607-701,동래구청,051-554-8411,381,부산 동래구　
614-701,부산진구청,051-808-5351,666-16,부산 부산진구
616-701,북구청,051-304-7501,1124-1,부산 북구　　
617-702,사상구청,051-317-4343,132-7,부산 사상구　
604-701,사하구청,051-207-6041,317-16,부산 사하구　
602-701,서구청,051-254-5033,270,부산 서구　　
613-702,수영구청,051-622-4251,148-15,부산 수영구　
611-703,연제구청,051-851-7851,1555,부산 연제구　
606-750,영도구청,051-418-3000,48-3,부산 영도구　
600-701,중구청,051-463-3000,1,부산 중구　　
612-701,해운대구청,051-741-4001,1378-95,부산 해운대구
705-702,남구청,053-473-0131,565-5,대구 남구　　
704-702,달서구청,053-635-9000,281,대구 달서구　
701-701,동구청,053-955-2211,36-1,대구 동구　　
702-705,북구청,053-352-2611,447-16,대구 북구　　
703-701,서구청,053-552-6878,1230-9,대구 서구　　
706-701,수성구청,053-666-2000,238-3,대구 수성구　
700-701,중구청,053-423-1201,177-4,대구 중구　　
407-701,계양구청,032-551-5701,1079-1,인천 계양구　
402-701,남구청,032-887-1011,131-1,인천 남구　　
405-702,남동구청,032-466-3811,1008,인천 남동구　
401-701,동구청,032-761-0151,109,인천 동구　　
403-701,부평구청,032-527-5911,879,인천 부평구　
404-701,서구청,032-562-5301,244,인천 서구　　
406-723,연수구청,032-817-1011,,인천 연수구　
400-701,중구청,032-760-7114,9,인천 중구　　
506-702,광산구청,062-942-3011~9,833-8,광주 광산구　
503-701,남구청,062-651-9020,511,광주 남구　　
501-704,동구청,062-227-4911,31,광주 동구　　
500-701,북구청,062-512-1011~8,239-2,광주 북구　　
502-701,서구청,062-368-4949,299,광주 서구　　
306-703,대덕구청,042-620-6114,500,대전 대덕구　
300-701,동구청,042-250-1114,85-5,대전 동구　　
302-702,서구청,042-611-6114,1300,대전 서구　　
305-702,유성구청,042-865-2114,109,대전 유성구　
301-701,중구청,042-250-5114,215,대전 중구　　
680-706,남구청,052-275-7541,1320-1,울산 남구　　
682-701,동구청,052-233-8401,222,울산 동구　　
683-707,북구청,052-289-9999,1004-1,울산 북구　　
681-701,중구청,052-298-3003~9,180-1,울산 중구　　
412-090,덕양구청,031-909-9000,46,경기 고양시　
410-702,일산동구청,031-909-9000,815,경기 고양시　
411-702,일산서구청,031-909-9000,2199,경기 고양시　
422-701,소사구청,032-340-6114,64,경기 부천시　
421-705,오정구청,032-680-2114,129,경기 부천시　
420-701,원미구청,032-650-2114,71,경기 부천시　
463-701,분당구청,031-729-7114,1,경기 성남시　
461-722,수정구청,031-729-5114,30,경기 성남시　
462-712,중원구청,031-729-6114,3129,경기 성남시　
441-710,권선구청,031-228-6114,900,경기 수원시　
443-848,영통구청,031-228-8585,1268,경기 수원시　
440-715,장안구청,031-241-6114,825,경기 수원시　
442-765,팔달구청,031-228-7114,228,경기 수원시　
431-718,동안구청,031-384-7410,1111,경기 안양시　
430-718,만안구청,031-443-1950,530,경기 안양시　
446-593,기흥구청,031-324-6114,355,경기 용인시　
448-554,수지구청,031-324-8114,720,경기 용인시　
449-790,처인구청,031-324-5114,286,경기 용인시　
790-701,남구청,054-280-0114,381-2,경북 포항시　
791-702,북구청,054-240-0114,121-1,경북 포항시　
561-701,덕진구청,063-271-6161,416-12,전북 전주시　
560-719,완산구청,063-226-0011,595,전북 전주시　
619-906,기장군청,051-722-0001,신천리 1,부산 기장군　
711-790,달성군청,053-668-2000,금포리 1313,대구 달성군　
417-802,강화군청,032-934-2183,관청리 163,인천 강화군　
400-103,옹진군청,032-880-2114,7-215,인천 옹진군　
680-708,울주군청,052-229-7000,156-3,울산 울주군　
219-801,고성군청,033-681-2191,하리 12,강원 고성군　
255-806,양구군청,033-481-2191,하리 34-5,강원 양구군　
215-804,양양군청,033-671-8800~6,군행리 8,강원 양양군　
230-713,영월군청,033-374-2101,242,강원 영월군　
252-806,인제군청,033-461-2122~9,상동리 349-6,강원 인제군　
233-701,정선군청,033-562-3911,봉양3리 267,강원 정선군　
269-805,철원군청,033-450-5151,신철원리 4-6,강원 철원군　
232-807,평창군청,033-332-2011,하리 210-2,강원 평창군　
250-809,홍천군청,033-432-7801~9,희망리 181,강원 홍천군　
209-804,화천군청,033-442-1211~6,아리 239,강원 화천군　
225-808,횡성군청,033-343-2101~6,읍하리 58-1,강원 횡성군　
487-701,포천시청,031-533-5961,58-2,경기 포천시　
477-701,가평군청,031-582-2684~8,읍내리 513,경기 가평군　
476-703,양평군청,031-773-5101,양근리 448-8,경기 양평군　
469-704,여주군청,031-883-2114,홍문리 4,경기 여주군　
486-701,연천군청,031-834-2211,차탄리 290-1,경기 연천군　
670-807,거창군청,055-944-2191~3,상림리 64-1,경남 거창군　
638-804,고성군청,055-673-4101~7,성내리 198,경남 고성군　
668-801,남해군청,055-864-2131~5,서변리 24-1,경남 남해군　
666-805,산청군청,055-972-2801,옥산리 465-3,경남 산청군　
636-805,의령군청,055-570-2200,중동리 261-1,경남 의령군　
635-801,창녕군청,055-530-2000,교리 1,경남 창녕군　
667-805,하동군청,055-880-2114,읍내리 180-3,경남 하동군　
637-805,함안군청,055-584-6000,말산리 213,경남 함안군　
676-701,함양군청,055-960-0114,운림리 31-2,경남 함양군　
678-801,합천군청,055-930-3000,합천리 337,경남 합천군　
717-801,고령군청,054-954-2201~8,지산리 190,경북 고령군　
716-701,군위군청,054-383-2181,동부리 299,경북 군위군　
755-806,봉화군청,054-673-5800,내성4리 537,경북 봉화군　
719-801,성주군청,054-930-6114,경산리 283-1,경북 성주군　
766-801,영덕군청,054-733-8201~9,남석리 310-3,경북 영덕군　
764-805,영양군청,054-682-2241~9,서부리 379-1,경북 영양군　
757-804,예천군청,054-654-3801,노상리 125-1,경북 예천군　
799-801,울릉군청,054-791-2191~5,도동리 206-1,경북 울릉군　
767-801,울진군청,054-782-1501,읍내리 464,경북 울진군　
769-805,의성군청,054-833-0601~8,후죽리 509-2,경북 의성군　
714-701,청도군청,054-372-1705~9,범곡리 133,경북 청도군　
763-802,청송군청,054-870-6114,월막리 330,경북 청송군　
718-703,칠곡군청,054-973-3321,왜관리 177-1,경북 칠곡군　
530-705,신안군청,061-243-2171~5,178-1,전남 신안군　
527-802,강진군청,061-430-3114,남성리 108-1,전남 강진군　
548-804,고흥군청,061-835-4165~7,옥하리 220-2,전남 고흥군　
516-800,곡성군청,061-363-2011,읍내리 713-2,전남 곡성군　
542-803,구례군청,061-782-0421~3,봉남리 51,전남 구례군　
517-802,담양군청,061-380-3690,객사리 99,전남 담양군　
534-804,무안군청,061-450-5114,성동리 712,전남 무안군　
546-802,보성군청,061-852-2181~6,보성리 807-2,전남 보성군　
513-807,영광군청,061-353-3701~7,무령리 198-4,전남 영광군　
526-804,영암군청,061-470-2114,동무리 158,전남 영암군　
537-803,완도군청,061-550-5114,남성리 650-1,전남 완도군　
515-805,장성군청,061-393-1990~3,영천리 1061-2,전남 장성군　
529-801,장흥군청,061-863-7071~8,건산리 715-11,전남 장흥군　
539-803,진도군청,061-540-3114,성내리 64-1,전남 진도군　
525-804,함평군청,061-322-0011~4,함평리 123-1,전남 함평군　
536-807,해남군청,061-530-5114,성내리 4,전남 해남군　
519-805,화순군청,061-374-0001,훈리 35,전남 화순군　
585-801,고창군청,063-563-2121~4,교촌리 275-3,전북 고창군　
568-804,무주군청,063-320-2114,읍내리 229-2,전북 무주군　
579-802,부안군청,063-584-4191~9,동중리 222-1,전북 부안군　
595-805,순창군청,063-653-2101~4,순화리 315-4,전북 순창군　
561-707,완주군청,063-240-4243~4,1561-1,전북 완주군　
566-805,임실군청,063-640-2114,이도리 390,전북 임실군　
597-800,장수군청,063-351-2141~2,장수리 176-7,전북 장수군　
567-806,진안군청,063-430-2114,군하리 97-4,전북 진안군　
312-701,금산군청,041-753-8282,상리 25-1,충남 금산군　
343-805,당진군청,041-350-3114,읍내리 515,충남 당진군　
323-701,부여군청,041-830-2114,동남리 725,충남 부여군　
325-701,서천군청,041-950-4114,군사리 363-3,충남 서천군　
339-807,연기군청,041-861-2400,신흥리 123,충남 연기군　
340-701,예산군청,041-330-2114,예산리 600,충남 예산군　
345-701,청양군청,041-943-2285,송방리 100,충남 청양군　
357-901,태안군청,041-670-2114,남문리 90,충남 태안군　
367-802,괴산군청,043-830-3114,서부리 125,충북 괴산군　
376-806,보은군청,043-540-3114,이평리 45,충북 보은군　
373-809,옥천군청,043-730-3114,삼양리 174,충북 옥천군　
368-908,증평군청,043-835-3114,창동리 100,충북 증평군　
365-807,진천군청,043-533-1100,읍내리 463,충북 진천군　
459-705,평택시 송탄출장소,031-663-3000,800,경기 평택시　
451-882,평택시 안중출장소,031-659-6014,학현리 산86-1,경기 평택시　
445-390,화성시 동부출장소,031-369-4114,526-2,경기 화성시　
626-837,웅상출장소,055-392-6141~4,827,경남 양산시　
730-804,구미시 선산출장소,054-480-5523,동부리 542-3,경북 구미시　
619-900,기장읍사무소,051-720-5903,대리 149-2,부산 기장군　
619-953,장안읍사무소,051-727-8831,좌천리 254-12,부산 기장군　
711-851,논공읍사무소,053-668-3302,금포리 1998,대구 달성군　
711-812,다사읍사무소,053-668-3303,매곡리 885-1,대구 달성군　
711-835,화원읍사무소,053-668-3301,천내리 426-1,대구 달성군　
417-802,강화읍사무소,032-934-3002,관청리 552,인천 강화군　
689-804,언양읍사무소,052-262-3001,동부리 388-2,울산 울주군　
689-893,온산읍사무소,052-238-3001,덕신리 36-4,울산 울주군　
689-902,온양읍사무소,052-238-3505,남창리 253-1,울산 울주군　
210-806,주문진읍사무소,033-660-2051,주문리 312,강원 강릉시　
245-905,도계읍사무소,033-541-3001,도계리 369-5,강원 삼척시　
245-803,원덕읍사무소,033-572-6011,호산리 204,강원 삼척시　
220-801,문막읍사무소,033-741-2601,건등리 651,강원 원주시　
200-821,신북읍사무소,033-250-3601,율문리 293-1,강원 춘천시　
219-801,간성읍사무소,033-680-3612,하리 28,강원 고성군　
219-901,거진읍사무소,033-680-3622,거진리 246-1,강원 고성군　
255-806,양구읍사무소,033-480-2605,중리 323-3,강원 양구군　
215-803,양양읍사무소,033-671-3002,연창리 221,강원 양양군　
230-902,상동읍사무소,033-378-3001,내덕리 5,강원 영월군　
230-805,영월읍사무소,033-374-3002,영흥리 1017-13,강원 영월군　
252-806,인제읍사무소,033-461-2302,상동리 382,강원 인제군　
233-811,고한읍사무소,033-592-3001,고한리 125-4,강원 정선군　
233-901,사북읍사무소,033-592-3002,사북리 317-3,강원 정선군　
233-822,신동읍사무소,033-378-8001,예미리 794,강원 정선군　
233-804,정선읍사무소,033-562-3002,봉양리 210-1,강원 정선군　
269-805,갈말읍사무소,033-450-5603,신철원리 991-1,강원 철원군　
269-831,김화읍사무소,033-450-5602,학사리 261,강원 철원군　
269-816,동송읍사무소,033-450-5604,이평리 860-1,강원 철원군　
269-821,철원읍사무소,033-450-5601,화지리 45-5,강원 철원군　
232-806,평창읍사무소,033-332-3002,중리 355-1,강원 평창군　
250-809,홍천읍사무소,033-434-7790~5,희망리 151,강원 홍천군　
209-804,화천읍사무소,033-442-3002,아리 2,강원 화천군　
225-805,횡성읍사무소,033-340-2641,북천리 148,강원 횡성군　
464-872,실촌읍사무소,031-762-6004,곤지암리 343-6,경기 광주시　
464-891,오포읍사무소,031-766-4483,고산리 254,경기 광주시　
464-862,초월읍사무소,031-760-4908,대쌍령리 211-2,경기 광주시　
472-883,오남읍사무소,031-590-2605,오남리 96-10,경기 남양주시
472-901,와부읍사무소,031-590-2601,덕소리 458-3,경기 남양주시
472-835,진건읍사무소,031-590-2604,용정리 781-2,경기 남양주시
472-865,진접읍사무소,031-590-2602,장현리 356-4,경기 남양주시
472-845,화도읍사무소,031-590-2603,마석우리 292,경기 남양주시
482-835,백석읍사무소,031-820-5710,오산리 532,경기 양주시　
449-814,포곡읍사무소,031-324-5602,삼계리 588-3,경기 용인시　
467-863,부발읍사무소,031-644-2642,무촌리 186-9,경기 이천시　
467-904,장호원읍사무소,031-644-2641,진암리 17-21,경기 이천시　
413-904,문산읍사무소,031-940-8005~8,문산리 35-8,경기 파주시　
413-876,법원읍사무소,031-940-8045~7,법원리 376,경기 파주시　
413-865,파주읍사무소,031-940-8025~7,파주리 428,경기 파주시　
451-884,안중읍사무소,031-659-6090,안중리 77-15,경기 평택시　
451-801,팽성읍사무소,031-659-5601,객사리 172,경기 평택시　
451-823,포승읍사무소,031-659-6070,방림리 52-13,경기 평택시　
487-823,소흘읍사무소,031-530-8642,송우리 494-2,경기 포천시　
487-803,포천읍사무소,031-530-8641,신읍리 169-2,경기 포천시　
445-891,봉담읍사무소,031-369-2711~7,상리 27-1,경기 화성시　
445-955,우정읍사무소,031-369-2801~7,조암리 411-1,경기 화성시　
445-926,향남읍사무소,031-369-2811~7,행정리 287-1,경기 화성시　
477-706,가평읍사무소,031-580-2613,읍내리 367,경기 가평군　
476-802,양평읍사무소,031-770-3001,양근리 234,경기 양평군　
469-804,여주읍사무소,031-880-3781~7,상리 285-2,경기 여주군　
486-708,연천읍사무소,031-839-2641,차탄리 4-3,경기 연천군　
486-902,전곡읍사무소,031-839-2642,은대리 541,경기 연천군　
621-806,진영읍사무소,055-343-5002,여래리 700-84,경남 김해시　
630-857,내서읍사무소,055-240-2735,중리 1049-1,경남 마산시　
627-904,삼랑진읍사무소,055-359-5701,송지리 409-1,경남 밀양시　
627-894,하남읍사무소,055-359-5711,수산리 462-13,경남 밀양시　
664-808,사천읍사무소,055-830-4801,평화리 29,경남 사천시　
626-812,물금읍사무소,055-382-0511,물금리 40-3,경남 양산시　
660-844,문산읍사무소,055-749-2600,삼곡리 1265,경남 진주시　
641-864,동읍사무소,055-291-3001,용잠리 230-7,경남 창원시　
650-942,산양읍사무소,055-642-3004,남평리 706-1,경남 통영시　
670-807,거창읍사무소,055-944-3002,상림리 60-3,경남 거창군　
638-804,고성읍사무소,055-670-2451~2,성내리 28,경남 고성군　
668-802,남해읍사무소,055-864-3002,북변리 158-16,경남 남해군　
666-807,산청읍사무소,055-970-3711,지리 321-6,경남 산청군　
636-805,의령읍사무소,055-570-2608,중동리 264,경남 의령군　
635-903,남지읍사무소,055-530-2821~9,남지리 663-7,경남 창녕군　
635-804,창녕읍사무소,055-530-2801~9,교상리 28-25,경남 창녕군　
667-804,하동읍사무소,055-883-9151,읍내리 1198-1,경남 하동군　
637-805,가야읍사무소,055-580-2601~6,말산리 271-3,경남 함안군　
676-806,함양읍사무소,055-960-0584,운림리 44,경남 함양군　
678-801,합천읍사무소,055-930-3781,합천리 789,경남 합천군　
712-837,진량읍사무소,053-853-0300,743-3,경북 경산시　
712-902,하양읍사무소,053-853-3000,133,경북 경산시　
780-831,감포읍사무소,054-744-3001,감포리 56-2,경북 경주시　
780-901,건천읍사무소,054-751-0301,건천리 214-1,경북 경주시　
780-807,안강읍사무소,054-761-3001,안강리 346-3,경북 경주시　
780-827,외동읍사무소,054-744-6301,입실리 1042-3,경북 경주시　
730-811,고아읍사무소,054-481-3301,관심리 622,경북 구미시　
730-804,선산읍사무소,054-481-1553,완전리 68-1,경북 구미시　
740-861,아포읍사무소,054-431-5301~2,국사리 126-1,경북 김천시　
745-904,가은읍사무소,054-550-6662,왕릉리 380,경북 문경시　
745-804,문경읍사무소,054-550-6661,상리 447-1,경북 문경시　
760-802,풍산읍사무소,054-858-6001,안교리 131,경북 안동시　
750-805,풍기읍사무소,054-639-6661,성내1리 22,경북 영주시　
790-801,구룡포읍사무소,054-276-2565,구룡포리 730-3,경북 포항시　
790-881,연일읍사무소,054-285-6340,괴정리 289-1,경북 포항시　
790-902,오천읍사무소,054-292-2129,문덕리 27,경북 포항시　
791-947,흥해읍사무소,054-240-0629,옥성리 산3,경북 포항시　
717-801,고령읍사무소,054-950-6521,쾌빈리 433-3,경북 고령군　
716-804,군위읍사무소,054-382-0301,동부리 229,경북 군위군　
755-806,봉화읍사무소,054-673-5002,내성3리 197-1,경북 봉화군　
719-804,성주읍사무소,054-933-3002,성산리 2097-2,경북 성주군　
766-805,영덕읍사무소,054-733-7587,우곡리 310,경북 영덕군　
